algorithm,model_path,env_type,n_episodes,seed,deterministic,mean_return,std_return,min_return,max_return,success_rate
PPO,models/ppo_push_none_target_5000k_lr_0p0003_ent_0p01_seed_0.zip,target,50,0,True,-3.188655376434326,1.9998295307159424,-6.200247764587402,-0.00787500012665987,0.24
PPO,models/best/ppo_push_none_target_5000k_lr_0p0003_ent_0p01_seed_0/best_model.zip,target,50,0,True,-3.188655138015747,1.9998295307159424,-6.200247764587402,-0.00787500012665987,0.24
PPO,models/best/ppo_push_none_target_5000k_lr_0p0001_ent_0p0_seed_0/best_model.zip,target,50,0,True,-3.188655376434326,1.9998295307159424,-6.200247764587402,-0.00787500012665987,0.24
PPO,models/best/ppo_push_none_target_5000k_lr_0p0001_ent_0p01_seed_0/best_model.zip,target,50,0,True,-3.188655376434326,1.9998295307159424,-6.200247764587402,-0.00787500012665987,0.24
PPO,models/ppo_push_none_target_5000k_lr_0p0001_ent_0p01_seed_0.zip,target,50,0,True,-2.8216588497161865,1.9382747411727905,-6.200247764587402,-0.007873999886214733,0.42
PPO,models/ppo_push_none_target_5000k_lr_0p0003_seed_0.zip,target,50,0,True,-3.188655376434326,1.9998295307159424,-6.200247764587402,-0.00787500012665987,0.24
PPO,models/ppo_push_none_target_5000k_lr_0p0001_ent_0p01_seed_0.zip,target,50,0,True,-2.8216588497161865,1.9382747411727905,-6.200247764587402,-0.007873999886214733,0.42
PPO,models/ppo_push_none_target_5000k_lr_0p0001_ent_0p01_seed_0.zip,target,50,0,True,-2.8216588497161865,1.9382747411727905,-6.200247764587402,-0.007873999886214733,0.42
PPO,models/ppo_push_none_target_5000k_lr_0p0001_ent_0p01_seed_0.zip,target,50,1,True,-2.768784761428833,1.9276131391525269,-6.200247764587402,-0.007873999886214733,0.44
PPO,models/ppo_push_none_target_5000k_lr_0p0001_ent_0p01_seed_0.zip,target,50,2,True,-2.708012342453003,1.9643505811691284,-6.200247764587402,-0.007873999886214733,0.46
PPO,models/ppo_push_none_target_5000k_lr_0p0001_ent_0p001_seed_0.zip,target,50,0,True,-2.7572662830352783,2.224945306777954,-8.127703666687012,-0.007873999886214733,0.38
PPO,models/best/ppo_push_none_target_5000k_lr_0p0001_ent_0p001_seed_0/best_model.zip,target,50,0,True,-2.7429561614990234,2.106870651245117,-6.201157093048096,-0.007873999886214733,0.36
PPO,models/best/ppo_push_none_target_5000k_lr_0p0003_ent_0p001_seed_0/best_model.zip,target,50,0,True,-3.188655376434326,1.9998295307159424,-6.200247764587402,-0.00787500012665987,0.24
PPO,models/best/ppo_push_udr_train_source_m_1p0_5p0_5000k_lr_0p0003_ent_0p0_seed_0/best_model.zip,source,50,0,True,-3.188655376434326,1.9998295307159424,-6.200247764587402,-0.00787500012665987,0.24
PPO,models/best/ppo_push_udr_train_source_m_1p0_5p0_5000k_lr_0p0003_ent_0p0_seed_0/best_model.zip,target,50,0,True,-3.188655376434326,1.9998295307159424,-6.200247764587402,-0.00787500012665987,0.24
PPO,models/ppo_push_udr_train_source_m_1p0_5p0_5000k_lr_0p0003_ent_0p0_seed_0.zip,target,50,0,True,-3.188655376434326,1.9998295307159424,-6.200247764587402,-0.00787500012665987,0.24
PPO,models/best/ppo_push_udr_train_source_m_0p5_6p0_5000k_lr_0p0003_ent_0p0_seed_0/best_model.zip,target,50,0,True,-3.18864369392395,1.9998151063919067,-6.200247764587402,-0.00787500012665987,0.24
PPO,models/best/ppo_push_udr_train_source_m_0p5_6p0_5000k_lr_0p0003_ent_0p0_seed_0/best_model.zip,source,50,0,True,-3.18864369392395,1.9998151063919067,-6.200247764587402,-0.00787500012665987,0.24
PPO,models/best/ppo_push_udr_train_source_m_0p5_6p0_5000k_lr_0p0003_ent_0p0_seed_0/best_model.zip,source,50,0,True,-3.18864369392395,1.9998151063919067,-6.200247764587402,-0.00787500012665987,0.24
PPO,models/best/ppo_push_udr_train_source_m_0p5_6p0_5000k_lr_0p0003_ent_0p0_seed_0/best_model.zip,target,50,0,True,-3.18864369392395,1.9998151063919067,-6.200247764587402,-0.00787500012665987,0.24
PPO,models/ppo_push_udr_train_source_m_0p5_6p0_5000k_lr_0p0003_ent_0p0_seed_0.zip,target,50,0,True,-3.1886534690856934,1.9998269081115723,-6.200247764587402,-0.00787500012665987,0.24
PPO,models/ppo_push_udr_train_source_m_0p5_6p0_5000k_lr_0p0003_ent_0p0_seed_0.zip,source,50,0,True,-3.1886534690856934,1.9998269081115723,-6.200247764587402,-0.00787500012665987,0.24
PPO,models/best/ppo_push_none_source_5000k_lr_0p0003_seed_0/best_model.zip,target,50,0,True,-2.7427849769592285,1.9105437994003296,-6.200247764587402,-0.007873999886214733,0.5
